"title","commits","additions","deletions","changed_files","author_association"
"[XLA] Add fast path cases for common scatter and gather operations",2,66,21,1,"CONTRIBUTOR"
"GPU: Add Complex kernel for tf.exp()",2,24,4,4,"CONTRIBUTOR"
"Add un-fed placeholder warning to negative-dimension error",2,2,1,1,"CONTRIBUTOR"
"Use argmax output_type argument instead of cast op",1,2,4,1,"CONTRIBUTOR"
"Branch 178185697",126,17114,9352,371,"CONTRIBUTOR"
"Fix for #12537",1,2,1,1,"CONTRIBUTOR"
"Go: Don't require -std=c99 for the cgo code.",1,2,1,1,"MEMBER"
"DO NOT SUBMIT: Temporarily disable go:test",1,1,0,1,"CONTRIBUTOR"
"Fix some Bash issues",1,6,6,4,"CONTRIBUTOR"
"[CMake] Add bazel tests for python file lists",1,140,0,3,"CONTRIBUTOR"
"Fix problem with camera on Android TV",3,6,2,1,"CONTRIBUTOR"
"summary_image_op_test_fixed_on_ppc64le",1,0,1,1,"CONTRIBUTOR"
"Allow keras applications to load weights from arbitrary path",1,80,35,7,"CONTRIBUTOR"
"MKL: Revving mkl-dnn to include all changes before 2017-11-20.",1,4,4,1,"CONTRIBUTOR"
"Support --config=monolithic in tf.sysconfig.get_link_flags()",5,38,2,10,"CONTRIBUTOR"
"Document tf-coreml converter in lite/README.md",1,4,0,1,"CONTRIBUTOR"
"Solved for MNIST file downloading problem",1,8,13,5,"NONE"
"Revert ""Speed up safe_strtod and safe_strtof functions by using doubl…",1,86,203,11,"CONTRIBUTOR"
"Add decode_compressed support",12,276,0,6,"MEMBER"
"Improve the Windows Bazel build",11,76,54,12,"MEMBER"
"Fix typo",1,1,1,1,"CONTRIBUTOR"
"improve py_func",8,141,0,4,"CONTRIBUTOR"
"Fix the iOS makefile on tensorflow lite.",1,30,30,1,"CONTRIBUTOR"
"variables.get_global_step() is deprecated",1,2,2,1,"CONTRIBUTOR"
"add a new operator :`sparse_tile_like interface`",1,722,0,11,"NONE"
"Merge pull request #1 from tensorflow/master",0,0,0,0,"NONE"
"Fix link to BUILD file in android readme.",1,1,1,1,"CONTRIBUTOR"
"MKL: Dockerfile Locked to Broadwell/AVX2 arch to work around Eigen Issues with AVX512",1,1,3,1,"CONTRIBUTOR"
"Update docs for `tf.contrib.losses` -> `tf.losses`",1,2,2,1,"MEMBER"
"Branch 177809511",59,7087,3096,245,"CONTRIBUTOR"
"[CMake] Re-Enable include",1,1,5,1,"CONTRIBUTOR"
"Fixing “activate the Virtualenv”",1,17,14,1,"CONTRIBUTOR"
"add label_image for tflite",10,856,0,11,"CONTRIBUTOR"
"Fix typo",5,5,5,4,"CONTRIBUTOR"
"Add an argument for additional linkopts to py_wrappers rule",5,5,2,1,"CONTRIBUTOR"
"DOC: Fix documentation for dataset.md",1,1,1,1,"CONTRIBUTOR"
"Update deprecated get_global_step in example",3,1,3,2,"CONTRIBUTOR"
"Add S3 to the list of implemented file systems in doc",1,1,0,1,"MEMBER"
"DOC: Fix documentation for inverse_time_decay.",1,10,3,1,"CONTRIBUTOR"
"DOC: underline that tf.Print behaves like tf.identity",1,3,3,1,"CONTRIBUTOR"
"tf.Print supports Variable",4,37,1,4,"CONTRIBUTOR"
"Update AWS C++ SDK to 1.3.15",1,4,4,1,"MEMBER"
"Update 4_convolutions.ipynb",1,109,4,1,"NONE"
"Update 4_convolutions.ipynb",1,110,7,1,"NONE"
"Update 4_convolutions.ipynb",1,111,7,1,"NONE"
"update Android libs",2,266,3,6,"CONTRIBUTOR"
"Increase test size to prevent timeout",1,1,1,1,"MEMBER"
"Branch 177236996",31,2212,390,87,"MEMBER"
"[DO NOT SUBMIT] TEST",123,10811,3752,406,"MEMBER"
"Only install enum34 on Python <3.4 versions (Take 2)",1,2,2,1,"CONTRIBUTOR"
"Fix error message of WhereOpCPU",1,1,1,1,"CONTRIBUTOR"
"Revert ""Arbitrary dim for slice (#11140)""",1,98,279,6,"MEMBER"
"Branch 177545934",128,10832,3736,403,"MEMBER"
"Fix a BUILD file bug in `tensorflow/contrib/cloud/BUILD`",1,0,2,1,"MEMBER"
"update label_image.py",3,26,3,3,"CONTRIBUTOR"
"add link to decode_bmp",1,1,0,1,"CONTRIBUTOR"
"Fix deprecated function",1,1,1,1,"CONTRIBUTOR"
"Introduce tf_http_archive",1,286,284,10,"MEMBER"
"Add additional linkopts argument to tf_custom_op_library.",1,2,2,1,"CONTRIBUTOR"
"Fix dataset tests broken on HEAD",1,2,0,1,"MEMBER"
"Fix export_test failure as test wasn't updated",1,2,1,1,"MEMBER"
"Document iOS demo app in TF Lite Readme",5,19,4,2,"CONTRIBUTOR"
"Change bazel-mirror to mirror.bazel",1,2,2,1,"MEMBER"
"Make build rule for //tensorflow/contrib/lite/tools:benchmark_model",3,19,0,1,"CONTRIBUTOR"
"WIP: Support ""causal"" padding in tf.layers.convolutional.Conv1D",4,64,1,3,"CONTRIBUTOR"
"fix clip weights tests",1,1,1,1,"CONTRIBUTOR"
"Update input_fn.md",1,1,1,1,"CONTRIBUTOR"
"[Go] Adds Operations() method to Graph",1,33,3,2,"CONTRIBUTOR"
"Wrong code in programmer's guide in Variable Section",1,1,1,1,"CONTRIBUTOR"
"Add `AWS_REGION` env for S3 in TensorFlow",1,8,2,1,"MEMBER"
"Added ability to skip rescan bottleneks",1,19,6,1,"CONTRIBUTOR"
"Bump the GRPC version TF depends on.",1,4,4,1,"OWNER"
"improved estimator.export_savedmodel exception",1,2,1,1,"CONTRIBUTOR"
"Wrong Code in example in Programmer's guide",6,1,1,1,"CONTRIBUTOR"
"Add missing <stdio.h> include",1,2,0,1,"CONTRIBUTOR"
"Fix Wrong Rendering of Code Example",1,2,0,1,"NONE"
"Fix decode_bmp crash by adding length check before reading the data in buffer",6,86,15,2,"MEMBER"
"Clarifying checkpoint is not a file",1,12,6,1,"CONTRIBUTOR"
"Make tf_upgrade.py dependency free",1,484,510,4,"MEMBER"
"add support for quantized ops on windows",1,69,23,7,"CONTRIBUTOR"
"Branch 177191521",59,5657,1519,262,"MEMBER"
"Add user friendly error checking on download_dependencies.sh",1,14,0,2,"MEMBER"
"FreeBSD compatibility",4,43,6,4,"CONTRIBUTOR"
"Update datasets.md",2,2,2,1,"CONTRIBUTOR"
"Merge pull request #1 from tensorflow/master",2,0,0,0,"NONE"
"softmax_cross_entropy: Improve docstring",1,1,1,1,"CONTRIBUTOR"
"Fix a typo in comment",2,1,1,1,"CONTRIBUTOR"
"Branch 176737730",3,4,0,3,"MEMBER"
"Adapt identity initializer API to other initializers.",2,23,0,3,"NONE"
"Branch 176732156",16,778,236,31,"MEMBER"
"Branch 176791620",22,956,269,42,"MEMBER"
"Branch 177033313",32,1805,597,142,"MEMBER"
"golang: ~15x speedup for decodeTensor()",1,29,0,2,"CONTRIBUTOR"
"add extra document to parameter:num_epochs",1,3,1,1,"CONTRIBUTOR"
"Replace sys.maxint with sys.maxsize in learning.py",0,0,0,0,"CONTRIBUTOR"
"TensorBoard Modifications for Word2Vec Example",3,85,19,1,"CONTRIBUTOR"
"Create new_file",1,1,0,1,"NONE"
"Fix typos",5,8,8,6,"CONTRIBUTOR"
"fix typos",2,4,4,3,"CONTRIBUTOR"
"Update tf_core_framework.cmake",1,1,1,1,"CONTRIBUTOR"
"[XLA] FIX XLA/tfcompile on OSX. #if Guard AVX, SSE and NEON instructions",1,40,11,4,"CONTRIBUTOR"
"R1.4",71,2948,1241,81,"NONE"
"Add collection parameter into built-in runners",1,81,35,1,"NONE"
"Add uint32 and uint64 support for `bitwise_and/or/xor`",6,25,16,7,"MEMBER"
"Format AUTHORS file",1,1,1,1,"CONTRIBUTOR"
"Restore CONTRIBUTORS file",3,69,0,1,"CONTRIBUTOR"
"Some PATH typo : no `train_dir` in tutorial",1,4,4,1,"CONTRIBUTOR"
"[CMake] Extract list of python modules",5,505,488,4,"CONTRIBUTOR"
"tf.Print converts Variable to mutable Tensor",5,52,24,7,"CONTRIBUTOR"
"fix overpadding in MixtureSameFamily",1,4,3,1,"CONTRIBUTOR"
"fix overpadding in MixtureSameFamily",0,0,0,0,"CONTRIBUTOR"
"change bazel-mirror to mirror.bazel",2,3,3,1,"NONE"
"change bazel-mirror to mirror.bazel",7,2,2,1,"NONE"
"change bazel-mirror to mirror.bazel",4,2,2,1,"NONE"
"C++ gradient for Select",5,26,0,2,"CONTRIBUTOR"
"min_quantize lib and command line",0,0,0,0,"NONE"
"Enable GCS filesystem for Windows",1,91,16,9,"CONTRIBUTOR"
"Add batch support for various image_ops",0,0,0,0,"CONTRIBUTOR"
