"title","commits","additions","deletions","changed_files","author_association","priority"
"Fix crash on closing the app when classifier failed to initialize",1,3,1,1,"CONTRIBUTOR"

"Update .gitignore files for Android Studio",1,53,4,2,"CONTRIBUTOR"

"Fix of issue #10479",1,2,3,1,"NONE"

"New Feature: #12686 Softmaxcrossentropywithlogits gradient function",6,53,0,2,"NONE"

"Add a way to provide target nodes in Android",2,12,0,1,"NONE"

"Added a check for a macro to specify that an ARM device is not mobile",1,4,3,1,"NONE"

"Implement LoggingAsync for GRPC Worker Services",9,115,2,6,"CONTRIBUTOR"

"upgrade minSdkVersion to 21",1,1,1,1,"NONE"

"add photo selection and some changes in ios simple app",14,465,321,13,"NONE"

"Implements LayerNormBasicGRUCell",3,171,0,2,"NONE"

"Converting the real and imaginary float values from short_test_segmenâ€¦",2,14,0,1,"CONTRIBUTOR"

"Improve SkipNBytes to RandomInputStream ",5,104,44,10,"MEMBER"

"Make sparse_to_dense differentiable by wrapping scatter_nd_add.",1,9,12,2,"NONE"

"memmap changes",2,115,3,1,"NONE"

"Add checkpoint file prefix check",1,8,3,1,"CONTRIBUTOR"

"add not equal op to tf_op_files.txt",1,2,0,1,"CONTRIBUTOR"

"updated keras backend with missing methods",1,9,0,1,"NONE"

"Add int64 support of `axis` (`Tidx`) for ConcatV2",3,72,45,2,"MEMBER"

"Added an option to `kernel` to `skip_metropolis_step`.",2,85,1,2,"NONE"

"improve production condition of debug log with VLOG",1,15,6,2,"NONE"

"Add KafkaReader for processing streaming data with Apache Kafka",18,928,1,13,"MEMBER"

"Support fold batch norm for atrous conv2d",1,162,0,2,"NONE"

"Update adding_an_op.md",1,349,0,1,"NONE"

"make ""smart_cond"" api public and reusable",14,124,49,5,"NONE"

"allow to run configure from a parent workspace",1,71,16,4,"CONTRIBUTOR"

"Fix the gradient computation of dynamic stitch.",9,868,10,11,"CONTRIBUTOR"

"Fix of issue #13164",30,137544,57501,1838,"CONTRIBUTOR"

"Extracting out tf.bin_values_fixed_width from tf.histogram_fixed_width.",10,122,0,3,"NONE"

"added scope filtering to summaries.merge_all",4,4,3,2,"NONE"

"Support TensorArray in BeamSearchDecoder state.",14,244,15,4,"CONTRIBUTOR"

"Implement SpatialPyramidPooling",25,217,0,2,"CONTRIBUTOR"

"persist nsync.a across different platform builds",4,8,1,1,"CONTRIBUTOR"

"Add utf8 support for string_split",15,465,13,8,"MEMBER"

"change cnn_mnist example to use Adam optimizer; added a 'loss' summary",1,2,1,1,"CONTRIBUTOR"

"Support CopyFile with streaming",10,133,12,7,"MEMBER"

"Adding image captioning examples for iOS (Im2txt) ",2,2675,12,30,"NONE"

"layers.py spatial_softmax activation can be selected by user",4,35,3,2,"NONE"

"Make scatter_* kernels to be multiple thread and gain 8x speedup.",7,64,57,2,"CONTRIBUTOR"

"[XLA][WIP] Add support for Polyhedral compilation through Polly",4,667,3,8,"NONE"

"training argument for tf.nn.rnn_cell.DropoutWrapper",4,44,11,2,"CONTRIBUTOR"

"Add focal_loss",5,168,0,3,"CONTRIBUTOR"

"[OpenCL] Registers AvgPool and AvgPoolGrad (#105)",1,374,0,1,"CONTRIBUTOR"

"Weight normalization for RNN Cells.",3,350,0,2,"NONE"

"add nodouble option for all cwise ops",2,141,49,40,"CONTRIBUTOR"

"BeamSearchDecoder: fix beam not full, and add test module",11,101,16,2,"NONE"

"Multiplicative Integration Recurrent Neural Networks",6,414,0,3,"NONE"

"Quantize conv2d transpose",23,686,15,7,"CONTRIBUTOR"

>>>>>>> e25e2e6b5df58a825e1d9d80fd00acfa65c7b8b5
